var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;AD;et;0.47;0.422;0.43;0.426;0.428;0.414;0.424;0.432;0.39;0.388;0.412;0.416;0.456;0.384;0.386;0.406;0.398;0.408;0.398;0.41;0.41;0.434
bpt_2;AD;et;0.01;0.016;0.016;0.012;0.004;0.01;0.012;0.01;0.008;0.008;0.006;0.004;0.004;0.006;0.006;0.006;0.006;0.006;0.006;0.008;0.008;0.008
dijetpt;AD;et;0.416;0.334;0.278;0.378;0.382;0.406;0.394;0.408;0.4;0.404;0.396;0.39;0.408;0.396;0.4;0.406;0.392;0.394;0.412;0.396;0.398;0.344
jdeta;AD;et;0.44;0.47;0.48;0.458;0.46;0.566;0.452;0.466;0.472;0.478;0.45;0.498;0.482;0.492;0.566;0.474;0.48;0.492;0.484;0.48;0.562;0.5
jpt_1;AD;et;0.574;0.444;0.436;0.528;0.52;0.512;0.544;0.51;0.518;0.524;0.524;0.528;0.512;0.492;0.51;0.528;0.512;0.514;0.524;0.526;0.508;0.466
jpt_2;AD;et;0.604;0.642;0.602;0.662;0.672;0.646;0.67;0.67;0.692;0.676;0.674;0.694;0.63;0.68;0.654;0.674;0.694;0.666;0.69;0.674;0.66;0.698
m_sv;AD;et;0.442;0.402;0.322;0.516;0.54;0.538;0.54;0.53;0.536;0.528;0.518;0.494;0.54;0.492;0.474;0.474;0.5;0.518;0.496;0.484;0.47;0.468
m_vis;AD;et;0.234;0.148;0.226;0.236;0.208;0.184;0.256;0.224;0.254;0.202;0.192;0.206;0.192;0.208;0.202;0.218;0.224;0.246;0.242;0.222;0.232;0.198
met;AD;et;0.006;0.004;0.01;0.018;0.02;0.01;0.016;0.018;0.018;0.018;0.018;0.014;0.018;0.022;0.014;0.014;0.024;0.016;0.016;0.016;0.014;0.018
mjj;AD;et;0.44;0.472;0.42;0.534;0.53;0.544;0.554;0.544;0.542;0.586;0.568;0.542;0.556;0.54;0.558;0.552;0.572;0.552;0.54;0.538;0.562;0.556
mt_1;AD;et;0.6;0.614;0.626;0.608;0.628;0.634;0.622;0.63;0.636;0.616;0.62;0.624;0.612;0.638;0.624;0.614;0.632;0.63;0.624;0.636;0.628;0.596
mt_2;AD;et;0.056;0.068;0.052;0.046;0.052;0.05;0.052;0.056;0.052;0.044;0.05;0.04;0.054;0.046;0.048;0.052;0.04;0.046;0.052;0.05;0.05;0.034
nbtag;AD;et;0.512;0.504;0.51;0.314;0.318;0.322;0.33;0.31;0.296;0.312;0.292;0.308;0.306;0.3;0.29;0.296;0.284;0.314;0.276;0.316;0.29;0.294
njets;AD;et;0.494;0.816;0.868;0.608;0.644;0.612;0.572;0.57;0.656;0.662;0.674;0.65;0.622;0.678;0.7;0.646;0.648;0.654;0.682;0.666;0.678;0.64
pt_1;AD;et;0.014;0.014;0.002;0.026;0.018;0.018;0.026;0.03;0.026;0.026;0.022;0.026;0.024;0.022;0.016;0.022;0.012;0.022;0.022;0.016;0.016;0.016
pt_2;AD;et;0.05;0.038;0.034;0.064;0.066;0.078;0.068;0.08;0.072;0.074;0.064;0.076;0.072;0.082;0.066;0.074;0.066;0.076;0.068;0.076;0.068;0.062
pt_tt;AD;et;0.956;0.964;0.972;0.97;0.976;0.976;0.964;0.96;0.968;0.978;0.972;0.966;0.97;0.976;0.974;0.97;0.976;0.974;0.972;0.972;0.97;0.966
pt_vis;AD;et;0.186;0.184;0.214;0.184;0.19;0.184;0.182;0.208;0.168;0.168;0.194;0.168;0.176;0.182;0.17;0.182;0.17;0.178;0.178;0.184;0.18;0.166
