var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;KS;et;0.46;0.398;0.43;0.418;0.416;0.43;0.428;0.416;0.374;0.384;0.404;0.4;0.41;0.388;0.376;0.4;0.382;0.384;0.404;0.388;0.396;0.418
bpt_2;KS;et;0.004;0.014;0.012;0.006;0.002;0.006;0.006;0.004;0.012;0.004;0.012;0.008;0.006;0.008;0.006;0.01;0.008;0.006;0.008;0.006;0.01;0.008
dijetpt;KS;et;0.082;0.07;0.052;0.084;0.096;0.076;0.086;0.1;0.084;0.076;0.084;0.084;0.088;0.084;0.09;0.108;0.094;0.1;0.076;0.086;0.076;0.062
jdeta;KS;et;0.206;0.294;0.294;0.314;0.34;0.35;0.318;0.34;0.346;0.296;0.32;0.376;0.388;0.374;0.412;0.334;0.354;0.358;0.354;0.358;0.362;0.362
jpt_1;KS;et;0.636;0.51;0.47;0.504;0.51;0.524;0.494;0.506;0.512;0.516;0.49;0.502;0.49;0.478;0.482;0.532;0.476;0.49;0.488;0.512;0.51;0.414
jpt_2;KS;et;0.216;0.318;0.296;0.614;0.626;0.614;0.62;0.66;0.668;0.692;0.658;0.656;0.698;0.656;0.7;0.61;0.698;0.634;0.668;0.646;0.666;0.668
m_sv;KS;et;0.614;0.518;0.372;0.658;0.74;0.7;0.694;0.714;0.706;0.72;0.712;0.652;0.704;0.678;0.66;0.672;0.664;0.676;0.692;0.658;0.648;0.642
m_vis;KS;et;0.284;0.188;0.218;0.176;0.19;0.184;0.198;0.194;0.198;0.178;0.176;0.212;0.188;0.17;0.186;0.194;0.19;0.2;0.186;0.204;0.196;0.208
met;KS;et;0.008;0.006;0.008;0.014;0.022;0.014;0.022;0.02;0.02;0.02;0.022;0.018;0.018;0.02;0.022;0.022;0.02;0.022;0.022;0.018;0.018;0.018
mjj;KS;et;0.318;0.296;0.248;0.404;0.392;0.402;0.426;0.39;0.406;0.438;0.424;0.388;0.398;0.38;0.398;0.402;0.416;0.398;0.412;0.394;0.408;0.382
mt_1;KS;et;0.268;0.266;0.274;0.266;0.286;0.282;0.272;0.284;0.284;0.286;0.272;0.27;0.278;0.284;0.286;0.274;0.274;0.276;0.274;0.286;0.276;0.264
mt_2;KS;et;0.176;0.192;0.16;0.156;0.17;0.16;0.148;0.17;0.148;0.146;0.16;0.146;0.17;0.156;0.158;0.138;0.148;0.148;0.164;0.144;0.162;0.144
nbtag;KS;et;0.768;0.746;0.758;0.704;0.714;0.718;0.73;0.692;0.698;0.708;0.704;0.71;0.69;0.676;0.668;0.698;0.644;0.716;0.646;0.712;0.668;0.65
njets;KS;et;0.38;0.818;0.884;0.53;0.606;0.588;0.52;0.504;0.626;0.622;0.616;0.588;0.522;0.594;0.592;0.61;0.558;0.616;0.594;0.614;0.604;0.56
pt_1;KS;et;0.058;0.062;0.054;0.09;0.088;0.076;0.102;0.094;0.09;0.09;0.084;0.084;0.086;0.088;0.084;0.08;0.076;0.082;0.08;0.086;0.074;0.08
pt_2;KS;et;0.072;0.068;0.07;0.096;0.09;0.098;0.092;0.1;0.102;0.104;0.098;0.098;0.098;0.1;0.094;0.108;0.092;0.102;0.108;0.108;0.094;0.094
pt_tt;KS;et;0.64;0.722;0.708;0.744;0.758;0.752;0.71;0.708;0.738;0.782;0.738;0.704;0.728;0.75;0.772;0.738;0.732;0.73;0.714;0.752;0.734;0.758
pt_vis;KS;et;0.424;0.458;0.42;0.45;0.446;0.458;0.438;0.478;0.438;0.456;0.432;0.444;0.436;0.436;0.42;0.45;0.418;0.436;0.452;0.446;0.422;0.398
