var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;saturated;et;0.356;0.344;0.33;0.4;0.376;0.398;0.38;0.376;0.374;0.382;0.392;0.374;0.37;0.364;0.352;0.368;0.376;0.362;0.356;0.374;0.394;0.388
bpt_2;saturated;et;0.172;0.168;0.176;0.18;0.156;0.174;0.176;0.168;0.172;0.178;0.182;0.174;0.18;0.17;0.168;0.188;0.168;0.188;0.17;0.174;0.164;0.178
dijetpt;saturated;et;0.48;0.462;0.438;0.514;0.508;0.518;0.508;0.516;0.494;0.504;0.508;0.506;0.508;0.492;0.504;0.516;0.524;0.518;0.494;0.5;0.5;0.462
jdeta;saturated;et;0.6;0.594;0.612;0.59;0.592;0.656;0.622;0.612;0.614;0.626;0.592;0.592;0.59;0.61;0.674;0.588;0.634;0.62;0.604;0.616;0.682;0.602
jpt_1;saturated;et;0.574;0.52;0.536;0.58;0.586;0.598;0.582;0.57;0.57;0.578;0.592;0.588;0.578;0.566;0.558;0.596;0.566;0.574;0.566;0.594;0.594;0.556
jpt_2;saturated;et;0.98;0.978;0.972;0.978;0.986;0.992;0.986;0.99;0.982;0.986;0.978;0.99;0.986;0.984;0.988;0.988;0.994;0.98;0.976;0.984;0.978;0.988
m_sv;saturated;et;0.136;0.118;0.074;0.124;0.112;0.152;0.122;0.146;0.14;0.13;0.124;0.116;0.136;0.12;0.11;0.12;0.136;0.114;0.114;0.118;0.102;0.132
m_vis;saturated;et;0.354;0.292;0.244;0.25;0.224;0.23;0.246;0.226;0.268;0.24;0.246;0.282;0.252;0.262;0.22;0.258;0.264;0.262;0.3;0.262;0.244;0.266
met;saturated;et;0.098;0.124;0.146;0.17;0.178;0.154;0.18;0.166;0.168;0.162;0.162;0.158;0.156;0.164;0.164;0.158;0.17;0.138;0.166;0.164;0.162;0.144
mjj;saturated;et;0.51;0.53;0.524;0.58;0.572;0.54;0.584;0.562;0.572;0.59;0.58;0.534;0.556;0.544;0.564;0.558;0.582;0.56;0.57;0.574;0.574;0.576
mt_1;saturated;et;0.756;0.752;0.762;0.756;0.78;0.788;0.764;0.762;0.774;0.77;0.768;0.758;0.768;0.772;0.77;0.77;0.772;0.774;0.762;0.778;0.778;0.756
mt_2;saturated;et;0.27;0.298;0.272;0.3;0.266;0.266;0.282;0.274;0.272;0.278;0.272;0.256;0.3;0.272;0.266;0.264;0.278;0.26;0.28;0.286;0.274;0.256
nbtag;saturated;et;0.364;0.358;0.37;0.266;0.268;0.264;0.278;0.268;0.266;0.27;0.268;0.294;0.256;0.262;0.266;0.26;0.274;0.274;0.278;0.276;0.276;0.278
njets;saturated;et;0.606;0.756;0.766;0.636;0.648;0.664;0.638;0.67;0.672;0.666;0.684;0.68;0.664;0.686;0.694;0.642;0.692;0.678;0.704;0.68;0.692;0.676
pt_1;saturated;et;0.368;0.382;0.24;0.418;0.414;0.404;0.386;0.39;0.402;0.438;0.422;0.386;0.374;0.362;0.382;0.38;0.372;0.394;0.418;0.376;0.36;0.35
pt_2;saturated;et;0.306;0.284;0.282;0.326;0.362;0.342;0.328;0.308;0.342;0.348;0.344;0.358;0.326;0.376;0.356;0.342;0.362;0.346;0.344;0.346;0.34;0.338
pt_tt;saturated;et;0.992;0.985263157895;0.986;0.992;0.988;0.992;0.988;0.982;0.994;0.99;0.99;0.988;0.984;0.988;0.98;0.99;0.992;0.99;0.986;0.996;0.986;0.992
pt_vis;saturated;et;0.276;0.274;0.298;0.268;0.286;0.274;0.286;0.312;0.288;0.278;0.296;0.278;0.29;0.3;0.28;0.284;0.266;0.308;0.29;0.286;0.306;0.288
