var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;AD;mt;0.928;0.914;0.92;0.916;0.922;0.916;0.938;0.92;0.926;0.916;0.908;0.912;0.91;0.914;0.92;0.92;0.928;0.922;0.902;0.92;0.932;0.908
bpt_2;AD;mt;0.078;0.1;0.106;0.078;0.08;0.072;0.084;0.086;0.066;0.068;0.066;0.072;0.068;0.074;0.066;0.07;0.07;0.076;0.07;0.082;0.076;0.074
dijetpt;AD;mt;0.0;0.998;0.998;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.998
jdeta;AD;mt;0.156;0.16;0.146;0.214;0.222;0.24;0.222;0.238;0.254;0.238;0.22;0.232;0.25;0.224;0.252;0.232;0.238;0.234;0.238;0.216;0.208;0.256
jpt_1;AD;mt;0.51;0.566;0.564;0.506;0.528;0.536;0.496;0.516;0.536;0.53;0.548;0.51;0.506;0.528;0.506;0.522;0.526;0.53;0.522;0.53;0.504;0.508
jpt_2;AD;mt;0.086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
m_sv;AD;mt;1.0;1.0;0.998;0.996;1.0;1.0;1.0;1.0;0.996;1.0;1.0;1.0;0.994;0.998;1.0;0.998;1.0;0.996;1.0;1.0;0.998;0.996
m_vis;AD;mt;0.21;0.354;0.38;0.352;0.476;0.446;0.368;0.422;0.384;0.474;0.436;0.468;0.386;0.448;0.442;0.43;0.428;0.358;0.416;0.372;0.43;0.308
met;AD;mt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mjj;AD;mt;0.828;0.896;0.898;0.884;0.904;0.894;0.898;0.898;0.882;0.892;0.896;0.898;0.888;0.9;0.886;0.896;0.892;0.892;0.902;0.896;0.884;0.894
mt_1;AD;mt;0.896;0.886;0.884;0.894;0.894;0.894;0.892;0.892;0.886;0.884;0.888;0.9;0.886;0.886;0.892;0.888;0.894;0.886;0.882;0.896;0.898;0.892
mt_2;AD;mt;0.082;0.11;0.108;0.106;0.12;0.138;0.14;0.14;0.136;0.146;0.136;0.146;0.146;0.142;0.158;0.12;0.138;0.138;0.136;0.126;0.136;0.152
nbtag;AD;mt;0.0;0.0;0.0;0.0;0.086;0.026;0.078;0.04;0.374;0.398;0.372;0.386;0.024;0.4;0.0;0.382;0.386;0.39;0.414;0.392;0.354;0.396
njets;AD;mt;0.464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.0
pt_1;AD;mt;0.992;0.99;0.982;0.994;0.978;0.986;0.976;0.992;0.976;0.98;0.976;0.976;0.974;0.974;0.976;0.976;0.97;0.972;0.966;0.974;0.97;0.98
pt_2;AD;mt;0.494;0.52;0.526;0.514;0.492;0.528;0.51;0.498;0.512;0.498;0.506;0.514;0.49;0.516;0.506;0.514;0.516;0.512;0.508;0.528;0.514;0.528
pt_tt;AD;mt;0.278;0.242;0.234;0.246;0.244;0.238;0.26;0.262;0.234;0.236;0.236;0.252;0.258;0.22;0.254;0.228;0.258;0.26;0.23;0.24;0.258;0.0
pt_vis;AD;mt;0.322;0.35;0.358;0.348;0.356;0.372;0.378;0.356;0.362;0.368;0.358;0.354;0.354;0.36;0.368;0.368;0.358;0.358;0.36;0.362;0.362;0.378
