var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;KS;mt;0.782;0.774;0.798;0.816;0.832;0.818;0.822;0.8;0.838;0.808;0.818;0.8;0.82;0.814;0.822;0.814;0.812;0.808;0.8;0.82;0.836;0.788
bpt_2;KS;mt;0.072;0.082;0.074;0.068;0.076;0.074;0.08;0.082;0.056;0.062;0.046;0.064;0.058;0.046;0.05;0.054;0.052;0.056;0.062;0.05;0.066;0.056
dijetpt;KS;mt;0.006;0.984;0.976;0.992;0.986;0.99;0.992;0.992;0.992;0.984;0.992;0.992;0.99;0.988;0.992;0.994;0.992;0.99;0.988;0.994;0.996;0.988
jdeta;KS;mt;0.144;0.166;0.136;0.176;0.196;0.18;0.182;0.19;0.208;0.204;0.186;0.188;0.196;0.196;0.184;0.18;0.194;0.188;0.176;0.182;0.162;0.212
jpt_1;KS;mt;0.414;0.416;0.386;0.364;0.392;0.384;0.366;0.358;0.374;0.366;0.364;0.352;0.366;0.366;0.356;0.366;0.364;0.366;0.346;0.372;0.368;0.344
jpt_2;KS;mt;0.086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
m_sv;KS;mt;0.998;1.0;1.0;1.0;0.998;1.0;1.0;0.998;0.996;0.998;1.0;1.0;0.998;1.0;1.0;0.998;0.998;0.994;1.0;0.996;0.998;0.998
m_vis;KS;mt;0.308;0.426;0.542;0.53;0.606;0.582;0.544;0.564;0.548;0.594;0.56;0.592;0.528;0.58;0.566;0.56;0.568;0.534;0.56;0.538;0.582;0.418
met;KS;mt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mjj;KS;mt;0.97;0.972;0.972;0.97;0.982;0.978;0.978;0.98;0.97;0.976;0.97;0.98;0.972;0.974;0.966;0.976;0.968;0.978;0.978;0.978;0.974;0.974
mt_1;KS;mt;0.806;0.798;0.812;0.82;0.808;0.81;0.806;0.808;0.814;0.808;0.806;0.812;0.802;0.808;0.798;0.806;0.804;0.81;0.81;0.816;0.804;0.806
mt_2;KS;mt;0.026;0.026;0.026;0.028;0.036;0.038;0.04;0.038;0.038;0.04;0.04;0.042;0.042;0.042;0.044;0.032;0.04;0.038;0.036;0.038;0.038;0.042
nbtag;KS;mt;0.0;0.002;0.002;0.0;0.006;0.002;0.004;0.004;0.468;0.476;0.464;0.48;0.0;0.484;0.0;0.466;0.462;0.478;0.48;0.474;0.438;0.472
njets;KS;mt;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.0
pt_1;KS;mt;0.958;0.964;0.956;0.968;0.972;0.98;0.974;0.98;0.966;0.98;0.976;0.97;0.974;0.966;0.97;0.98;0.974;0.972;0.968;0.976;0.974;0.98
pt_2;KS;mt;0.59;0.666;0.526;0.59;0.61;0.652;0.584;0.602;0.552;0.59;0.554;0.612;0.578;0.612;0.64;0.552;0.626;0.558;0.562;0.554;0.586;0.53
pt_tt;KS;mt;0.194;0.172;0.18;0.168;0.178;0.182;0.18;0.202;0.184;0.198;0.174;0.18;0.194;0.172;0.196;0.182;0.21;0.21;0.19;0.188;0.204;0.0
pt_vis;KS;mt;0.244;0.158;0.188;0.17;0.178;0.188;0.178;0.178;0.172;0.188;0.192;0.184;0.168;0.182;0.186;0.198;0.204;0.188;0.19;0.184;0.206;0.182
