var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;saturated;mt;0.904;0.934;0.94;0.976;0.976;0.976;0.972;0.966;0.966;0.966;0.968;0.97;0.974;0.964;0.966;0.964;0.982;0.974;0.954;0.962;0.966;0.968
bpt_2;saturated;mt;0.834;0.852;0.854;0.828;0.81;0.818;0.826;0.802;0.788;0.814;0.792;0.794;0.806;0.802;0.79;0.77;0.794;0.786;0.806;0.782;0.83;0.772
dijetpt;saturated;mt;0.0;0.992;0.992;0.998;0.998;0.998;0.998;0.998;0.996;0.998;0.998;0.998;0.998;0.998;0.998;0.998;0.998;0.996;0.998;0.996;0.996;0.998
jdeta;saturated;mt;0.048;0.03;0.042;0.056;0.042;0.034;0.038;0.04;0.05;0.038;0.06;0.05;0.05;0.05;0.038;0.062;0.042;0.042;0.048;0.056;0.034;0.044
jpt_1;saturated;mt;0.412;0.484;0.484;0.456;0.494;0.488;0.46;0.458;0.462;0.47;0.476;0.456;0.444;0.466;0.452;0.47;0.468;0.46;0.46;0.462;0.45;0.446
jpt_2;saturated;mt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
m_sv;saturated;mt;0.976;0.988;0.944;0.966;0.97;0.968;0.96;0.972;0.972;0.968;0.978;0.968;0.972;0.972;0.97;0.964;0.962;0.974;0.978;0.97;0.966;0.964
m_vis;saturated;mt;0.444;0.572;0.616;0.624;0.7;0.68;0.62;0.68;0.664;0.7;0.682;0.716;0.636;0.67;0.696;0.656;0.662;0.616;0.656;0.638;0.652;0.614
met;saturated;mt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0
mjj;saturated;mt;0.792;0.866;0.868;0.884;0.86;0.856;0.858;0.868;0.862;0.864;0.854;0.858;0.866;0.878;0.854;0.868;0.848;0.858;0.864;0.876;0.85;0.878
mt_1;saturated;mt;0.926;0.93;0.926;0.93;0.93;0.932;0.932;0.93;0.93;0.932;0.928;0.932;0.93;0.934;0.93;0.932;0.932;0.932;0.928;0.93;0.934;0.934
mt_2;saturated;mt;0.256;0.284;0.268;0.286;0.318;0.334;0.332;0.336;0.316;0.354;0.338;0.346;0.36;0.34;0.348;0.306;0.352;0.328;0.344;0.314;0.338;0.35
nbtag;saturated;mt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.144;0.156;0.14;0.132;0.0;0.134;0.0;0.134;0.12;0.136;0.134;0.126;0.146;0.132
njets;saturated;mt;0.792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.0;0.0;0.0
pt_1;saturated;mt;0.12;0.14;0.102;0.132;0.132;0.136;0.114;0.134;0.116;0.12;0.114;0.114;0.122;0.124;0.116;0.126;0.14;0.112;0.12;0.102;0.118;0.124
pt_2;saturated;mt;0.27;0.298;0.296;0.276;0.284;0.29;0.258;0.276;0.276;0.27;0.27;0.274;0.264;0.294;0.302;0.272;0.266;0.27;0.28;0.276;0.304;0.25
pt_tt;saturated;mt;0.424;0.394;0.418;0.412;0.41;0.42;0.424;0.412;0.428;0.396;0.368;0.436;0.43;0.376;0.402;0.406;0.41;0.404;0.412;0.424;0.44;0.0
pt_vis;saturated;mt;0.114;0.14;0.15;0.146;0.134;0.158;0.144;0.146;0.152;0.154;0.156;0.152;0.142;0.146;0.148;0.152;0.148;0.156;0.166;0.15;0.15;0.144
