var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;AD;tt;0.672;0.614;0.644;0.612;0.664;0.65;0.638;0.646;0.644;0.63;0.644;0.642;0.648;0.638;0.596;0.642;0.578;0.668;0.65;0.668;0.648;0.598
bpt_2;AD;tt;0.976;0.968;0.968;0.966;0.97;0.976;0.96;0.978;0.982;0.994;0.994;0.994;0.984;0.996;0.988;0.988;0.994;0.99;0.988;0.992;0.988;0.99
dijetpt;AD;tt;0.026;0.046;0.06;0.016;0.022;0.03;0.02;0.032;0.024;0.03;0.02;0.026;0.026;0.032;0.102;0.018;0.15;0.018;0.024;0.03;0.016;0.008
jdeta;AD;tt;0.61;0.658;0.648;0.626;0.604;0.582;0.61;0.602;0.622;0.62;0.61;0.634;0.6;0.614;0.576;0.614;0.618;0.598;0.592;0.632;0.614;0.57
jpt_1;AD;tt;0.066;0.0;0.0;0.07;0.116;0.14;0.102;0.136;0.124;0.098;0.12;0.126;0.128;0.142;0.196;0.116;0.326;0.116;0.134;0.084;0.104;0.056
jpt_2;AD;tt;0.646;0.54;0.542;0.614;0.594;0.582;0.634;0.574;0.574;0.62;0.568;0.56;0.596;0.558;0.478;0.522;0.512;0.492;0.588;0.614;0.564;0.598
m_sv;AD;tt;0.326;0.33;0.404;0.464;0.364;0.414;0.39;0.35;0.386;0.392;0.392;0.324;0.318;0.322;0.108;0.404;0.088;0.356;0.336;0.362;0.314;0.324
m_vis;AD;tt;0.662;0.728;0.796;0.756;0.748;0.742;0.754;0.69;0.652;0.0;0.65;0.618;0.58;0.626;0.11;0.674;0.12;0.686;0.624;0.658;0.602;0.624
met;AD;tt;0.41;0.45;0.464;0.0;0.0;0.0;0.378;0.424;0.418;0.418;0.422;0.378;0.378;0.398;0.114;0.386;0.176;0.41;0.0;0.0;0.346;0.284
mjj;AD;tt;0.462;0.474;0.474;0.464;0.448;0.45;0.442;0.494;0.466;0.458;0.464;0.448;0.474;0.448;0.444;0.436;0.406;0.432;0.45;0.456;0.462;0.402
mt_1;AD;tt;0.03;0.03;0.024;0.052;0.052;0.048;0.048;0.06;0.05;0.058;0.054;0.054;0.058;0.052;0.016;0.068;0.008;0.054;0.066;0.07;0.082;0.094
mt_2;AD;tt;0.862;0.854;0.858;0.888;0.878;0.892;0.898;0.884;0.888;0.892;0.896;0.896;0.882;0.886;0.84;0.896;0.84;0.894;0.882;0.908;0.864;0.908
nbtag;AD;tt;0.35;0.38;0.378;0.49;0.5;0.486;0.472;0.438;0.48;0.45;0.478;0.502;0.368;0.484;0.408;0.482;0.392;0.47;0.48;0.45;0.482;0.356
njets;AD;tt;0.14;0.05;0.058;0.15;0.12;0.128;0.168;0.104;0.192;0.2;0.17;0.18;0.12;0.206;0.16;0.178;0.232;0.15;0.15;0.182;0.174;0.098
pt_1;AD;tt;0.512;0.476;0.52;0.502;0.518;0.498;0.516;0.508;0.482;0.486;0.464;0.492;0.45;0.51;0.19;0.476;0.202;0.49;0.444;0.474;0.442;0.44
pt_2;AD;tt;0.018;0.016;0.02;0.014;0.01;0.002;0.01;0.006;0.0;0.0;0.0;0.01;0.0;0.014;0.024;0.0;0.012;0.012;0.018;0.0;0.0;0.008
pt_tt;AD;tt;0.424;0.484;0.51;0.572;0.53;0.504;0.536;0.542;0.494;0.524;0.492;0.48;0.594;0.508;0.526;0.51;0.0;0.482;0.49;0.502;0.52;0.436
pt_vis;AD;tt;0.286;0.394;0.328;0.318;0.418;0.426;0.336;0.432;0.376;0.358;0.384;0.398;0.398;0.394;0.63;0.358;0.666;0.412;0.376;0.324;0.384;0.3
