var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;KS;tt;0.516;0.518;0.532;0.488;0.554;0.532;0.5;0.536;0.47;0.466;0.418;0.454;0.472;0.506;0.566;0.49;0.632;0.514;0.506;0.466;0.518;0.286
bpt_2;KS;tt;0.98;0.964;0.962;0.958;0.97;0.97;0.962;0.972;0.98;0.99;0.994;0.994;0.984;0.994;0.988;0.99;0.986;0.988;0.988;0.99;0.988;0.978
dijetpt;KS;tt;0.166;0.19;0.192;0.148;0.152;0.172;0.152;0.17;0.172;0.156;0.17;0.172;0.142;0.17;0.204;0.158;0.28;0.164;0.166;0.162;0.164;0.104
jdeta;KS;tt;0.662;0.674;0.652;0.584;0.526;0.508;0.576;0.526;0.542;0.546;0.558;0.574;0.566;0.522;0.522;0.564;0.566;0.538;0.526;0.552;0.528;0.578
jpt_1;KS;tt;0.274;0.0;0.0;0.41;0.446;0.438;0.426;0.454;0.406;0.404;0.452;0.418;0.45;0.458;0.418;0.388;0.546;0.394;0.442;0.346;0.418;0.294
jpt_2;KS;tt;0.506;0.416;0.406;0.528;0.504;0.482;0.578;0.468;0.498;0.538;0.406;0.492;0.476;0.476;0.252;0.322;0.216;0.254;0.448;0.53;0.464;0.476
m_sv;KS;tt;0.496;0.474;0.432;0.532;0.428;0.492;0.456;0.448;0.472;0.514;0.486;0.446;0.404;0.432;0.472;0.518;0.426;0.422;0.476;0.456;0.45;0.336
m_vis;KS;tt;0.74;0.778;0.716;0.784;0.766;0.738;0.766;0.732;0.728;0.0;0.752;0.72;0.68;0.698;0.152;0.728;0.148;0.766;0.7;0.748;0.716;0.63
met;KS;tt;0.43;0.56;0.57;0.0;0.0;0.0;0.472;0.528;0.502;0.49;0.51;0.454;0.476;0.458;0.17;0.466;0.284;0.49;0.0;0.0;0.45;0.388
mjj;KS;tt;0.514;0.53;0.514;0.52;0.516;0.502;0.53;0.534;0.498;0.5;0.504;0.502;0.528;0.524;0.346;0.478;0.344;0.502;0.504;0.512;0.52;0.468
mt_1;KS;tt;0.048;0.044;0.052;0.074;0.058;0.08;0.07;0.082;0.07;0.08;0.086;0.076;0.082;0.078;0.02;0.094;0.014;0.088;0.078;0.084;0.106;0.124
mt_2;KS;tt;0.52;0.494;0.506;0.622;0.606;0.622;0.644;0.578;0.634;0.62;0.606;0.644;0.56;0.566;0.476;0.664;0.392;0.66;0.544;0.65;0.576;0.618
nbtag;KS;tt;0.328;0.334;0.36;0.326;0.324;0.344;0.34;0.318;0.314;0.328;0.312;0.35;0.112;0.332;0.244;0.326;0.264;0.32;0.322;0.328;0.318;0.168
njets;KS;tt;0.144;0.042;0.048;0.112;0.106;0.12;0.14;0.088;0.184;0.188;0.14;0.15;0.118;0.178;0.12;0.162;0.13;0.128;0.14;0.176;0.154;0.078
pt_1;KS;tt;0.652;0.646;0.674;0.64;0.672;0.64;0.662;0.65;0.65;0.652;0.638;0.654;0.642;0.664;0.378;0.642;0.388;0.654;0.604;0.658;0.634;0.632
pt_2;KS;tt;0.014;0.012;0.018;0.016;0.006;0.002;0.008;0.002;0.0;0.0;0.0;0.012;0.0;0.008;0.016;0.0;0.006;0.008;0.012;0.0;0.0;0.006
pt_tt;KS;tt;0.63;0.74;0.752;0.798;0.772;0.768;0.772;0.782;0.742;0.77;0.74;0.77;0.814;0.786;0.508;0.772;0.0;0.766;0.764;0.76;0.768;0.694
pt_vis;KS;tt;0.242;0.27;0.288;0.278;0.306;0.308;0.294;0.268;0.264;0.258;0.312;0.286;0.244;0.264;0.252;0.272;0.244;0.288;0.276;0.224;0.25;0.196
