var;test;ch;cc;cc1;cc2;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;nn9;nn10;nn11;nn12;nn13;nn14;nn15;nn16;nn17;nn18;nn21
bpt_1;saturated;tt;0.66;0.642;0.662;0.636;0.672;0.648;0.652;0.648;0.626;0.64;0.642;0.632;0.672;0.644;0.644;0.638;0.628;0.682;0.65;0.678;0.644;0.576
bpt_2;saturated;tt;0.992;0.99;0.99;0.98;0.982;0.982;0.978;0.986;0.986;0.984;0.986;0.984;0.984;0.978;0.962;0.98;0.976;0.982;0.982;0.98;0.982;0.846
dijetpt;saturated;tt;0.094;0.158;0.154;0.094;0.106;0.12;0.094;0.13;0.114;0.11;0.112;0.118;0.128;0.128;0.152;0.12;0.178;0.122;0.108;0.11;0.12;0.076
jdeta;saturated;tt;0.76;0.728;0.734;0.796;0.776;0.746;0.758;0.772;0.754;0.76;0.772;0.768;0.75;0.764;0.736;0.794;0.744;0.772;0.76;0.792;0.77;0.764
jpt_1;saturated;tt;0.62;0.0;0.008;0.656;0.706;0.714;0.672;0.718;0.702;0.664;0.704;0.686;0.722;0.724;0.698;0.67;0.732;0.684;0.718;0.644;0.68;0.604
jpt_2;saturated;tt;0.59;0.518;0.512;0.6;0.578;0.58;0.588;0.546;0.184;0.144;0.07;0.188;0.55;0.568;0.532;0.046;0.51;0.0;0.54;0.558;0.566;0.558
m_sv;saturated;tt;0.796;0.796;0.83;0.838;0.85;0.828;0.82;0.814;0.82;0.842;0.838;0.81;0.804;0.812;0.512;0.814;0.466;0.794;0.842;0.836;0.816;0.812
m_vis;saturated;tt;0.946;0.962;0.966;0.976;0.966;0.966;0.972;0.958;0.97;0.07;0.966;0.96;0.962;0.968;0.768;0.97;0.764;0.972;0.96;0.958;0.954;0.968
met;saturated;tt;0.638;0.668;0.718;0.0;0.0;0.0;0.628;0.656;0.672;0.702;0.666;0.66;0.654;0.652;0.216;0.67;0.284;0.69;0.0;0.0;0.646;0.548
mjj;saturated;tt;0.26;0.278;0.282;0.25;0.252;0.254;0.258;0.294;0.27;0.266;0.274;0.262;0.276;0.252;0.23;0.27;0.194;0.248;0.252;0.29;0.264;0.23
mt_1;saturated;tt;0.208;0.194;0.216;0.208;0.216;0.222;0.212;0.246;0.212;0.234;0.242;0.224;0.204;0.224;0.174;0.218;0.18;0.236;0.23;0.228;0.248;0.224
mt_2;saturated;tt;0.832;0.822;0.834;0.846;0.84;0.846;0.858;0.84;0.858;0.864;0.852;0.848;0.85;0.838;0.706;0.852;0.726;0.846;0.846;0.864;0.828;0.884
nbtag;saturated;tt;0.402;0.402;0.406;0.312;0.364;0.354;0.314;0.336;0.384;0.376;0.358;0.382;0.0;0.37;0.276;0.364;0.3;0.35;0.356;0.384;0.376;0.11
njets;saturated;tt;0.396;0.252;0.266;0.52;0.424;0.45;0.548;0.392;0.516;0.532;0.49;0.514;0.454;0.534;0.35;0.508;0.362;0.458;0.488;0.486;0.486;0.468
pt_1;saturated;tt;0.668;0.672;0.65;0.672;0.654;0.678;0.654;0.692;0.638;0.674;0.668;0.692;0.666;0.682;0.54;0.656;0.558;0.686;0.66;0.666;0.672;0.65
pt_2;saturated;tt;0.746;0.736;0.704;0.71;0.714;0.0;0.69;0.702;0.004;0.0;0.0;0.71;0.002;0.698;0.754;0.002;0.764;0.704;0.702;0.0;0.0;0.676
pt_tt;saturated;tt;0.732;0.764;0.758;0.776;0.762;0.768;0.772;0.744;0.75;0.75;0.746;0.74;0.768;0.778;0.674;0.75;0.0;0.742;0.736;0.752;0.754;0.714
pt_vis;saturated;tt;0.372631578947;0.41;0.394;0.388;0.458;0.472;0.386;0.44;0.43;0.41;0.408;0.408;0.45;0.404;0.412;0.398;0.456;0.474;0.444;0.408;0.432;0.428
